Polk County,"20,163","8,707
43.18%","7,069
35.06%",
Pope County,"63,644","36,789
57.80%","31,688
49.79%",
Prairie County,"8,244","4,189
50.81%","3,474
42.14%",
Pulaski County,"393,463","267,781
68.06%","227,211
57.75%",
Randolph County,"17,603","8,782
49.89%","7,273
41.32%",
St. Francis County,"26,294","14,752
56.10%","12,520
47.62%",
Saline County,"118,009","71,640
60.71%","61,614
52.21%",
Scott County,"10,442","5,867
56.19%","4,919
47.11%",
Searcy County,"7,923","3,554
44.86%","3,065
38.68%",
Sebastian County,"127,461","76,452
59.98%","63,080
49.49%",
Sevier County,"17,193","9,045
52.61%","7,739
45.01%",
Sharp County,"17,043","8,004
46.96%","6,750
39.61%",
Stone County,"12,446","5,271
42.35%","4,527
36.37%",
Union County,"39,732","23,692
59.63%","18,879
47.52%",
Van Buren County,"16,684","7,841
47.00%","6,884
41.26%",
Washington County,"228,529","159,307
69.71%","132,461
57.96%",
White County,"78,804","40,682
51.62%","34,787
44.14%",
Woodruff County,"6,660","4,076
61.20%","3,563
53.50%",
Yell County,"21,573","11,831
54.84%","10,383
48.13%",
Alameda County,"1,643,700","1,460,567
88.86%","1,355,859
82.49%",California
Alpine County,"1,146","857
74.78%","716
62.48%",
Amador County,"37,829","24,745
65.41%","20,748
54.85%",
Butte County,"227,075","126,172
55.56%","115,862
51.02%",
Calaveras County,"45,235","28,849
63.78%","24,340
53.81%",
Colusa County,"21,464","14,230
66.30%","12,961
60.38%",
Contra Costa County,"1,133,247","998,312
88.09%","943,358
83.24%",
Del Norte County,"27,424","14,816
54.03%","13,130
47.88%",
El Dorado County,"186,661","127,895
68.52%","116,732
62.54%",
Fresno County,"978,130","670,602
68.56%","606,187
61.97%",
Glenn County,"27,897","17,007
60.96%","15,581
55.85%",
Humboldt County,"135,768","96,905
71.38%","88,868
65.46%",
Imperial County,"180,216","237,247
131.65%","169,281
93.93%",
Inyo County,"18,085","12,316
68.10%","11,137
61.58%",
Kern County,"883,053","532,485
60.30%","478,324
54.17%",
Kings County,"150,075","77,094
51.37%","68,221
45.46%",
Lake County,"64,148","39,371
61.38%","35,138
54.78%",
Lassen County,"31,185","9,723
31.18%","8,758
28.08%",
Los Angeles County,"10,098,052","8,075,577
79.97%","7,301,119
72.30%",
Madera County,"155,013","95,099
61.35%","84,937
54.79%",
Marin County,"260,295","241,212
92.67%","224,898
86.40%",
Mariposa County,"17,540","11,332
64.61%","7,587
43.26%",
Mendocino County,"87,422","66,058
75.56%","59,196
67.71%",
Merced County,"269,075","179,062
66.55%","142,399
52.92%",
Modoc County,"8,938","3,920
43.86%","3,673
41.09%",
Mono County,"14,174","9,845
69.46%","8,908
62.85%",
Monterey County,"433,212","347,734
80.27%","313,319
72.32%",
Napa County,"140,530","119,538
85.06%","108,106
76.93%",
Nevada County,"99,092","69,150
69.78%","62,451
63.02%",
Orange County,"3,164,182","2,490,371
78.71%","2,287,163
72.28%",
Placer County,"380,077","283,503
74.59%","265,099
69.75%",
Plumas County,"18,699","11,228
60.05%","10,254
54.84%",
Riverside County,"2,383,286","1,586,233
66.56%","1,426,638
59.86%",
Sacramento County,"1,510,023","1,126,515
74.60%","1,040,689
68.92%",
San Benito County,"59,416","49,141
82.71%","45,051
75.82%",
San Bernardino County,"2,135,413","1,347,304
63.09%","1,229,023
57.55%",
San Diego County,"3,302,833","3,309,877
100.21%","2,584,695
78.26%",
San Francisco County,"870,044","792,170
91.05%","732,160
84.15%",
San Joaquin County,"732,212","561,496
76.68%","465,067
63.52%",
San Luis Obispo County,"281,455","197,264
70.09%","179,877
63.91%",
San Mateo County,"765,935","693,952
90.60%","643,520
84.02%",
Santa Barbara County,"443,738","341,594
76.98%","306,213
69.01%",
Santa Clara County,"1,922,200","1,752,579
91.18%","1,640,193
85.33%",
Santa Cruz County,"273,765","221,154
80.78%","204,175
74.58%",
Shasta County,"179,085","92,656
51.74%","83,116
46.41%",
Sierra County,"2,930","1,671
57.03%","1,564
53.38%",
Siskiyou County,"43,540","23,721
54.48%","21,171
48.62%",
Solano County,"438,530","332,798
75.89%","297,373
67.81%",
Sonoma County,"501,317","416,356
83.05%","384,980
76.79%",
Stanislaus County,"539,301","371,030
68.80%","311,810
57.82%",
Sutter County,"95,872","63,375
66.10%","58,291
60.80%",
Tehama County,"63,373","30,510
48.14%","27,768
43.82%",
Trinity County,"12,862","6,737
52.38%","5,958
46.32%",
Tulare County,"460,477","282,386
61.32%","251,716
54.66%",
Tuolumne County,"53,932","33,316
61.77%","28,360
52.58%",
Ventura County,"848,112","657,340
77.51%","605,645
71.41%",
Yolo County,"214,977","170,161
79.15%","153,978
71.63%",
Yuba County,"75,493","42,047
55.70%","38,336
50.78%",
Adams County,"497,115","380,187
76.48%","351,503
70.71%",Colorado
Alamosa County,"16,444","10,192
61.98%","9,126
55.50%",
Arapahoe County,"636,671","483,093
75.88%","446,056
70.06%",
Archuleta County,"12,908","8,941
69.27%","8,015
62.09%",
Baca County,"3,563","1,452
40.75%","1,400
39.29%",
Bent County,"5,809","1,556
26.79%","1,493
25.70%",
Boulder County,"321,030","278,246
86.67%","255,319
79.53%",
Broomfield County,"66,120","59,988
90.73%","56,664
85.70%",
Chaffee County,"19,164","14,079
73.47%","12,997
67.82%",
Cheyenne County,"2,039","619
30.36%","603
29.57%",
Clear Creek County,"9,379","5,285
56.35%","4,762
50.77%",
Conejos County,"8,142","4,414
54.21%","4,042
49.64%",
Costilla County,"3,687","2,413
65.45%","2,336
63.36%",
Crowley County,"5,630","1,404
24.94%","1,313
23.32%",
Custer County,"4,640","2,688
57.93%","2,449
52.78%",
Delta County,"30,346","16,298
53.71%","14,816
48.82%",
Denver County,"693,417","603,378
87.02%","549,669
79.27%",
Dolores County,"1,841","984
53.45%","864
46.93%",
Douglas County,"328,614","280,197
85.27%","257,114
78.24%",
Eagle County,"54,357","55,251
101.64%","45,195
83.14%",
Elbert County,"25,162","10,936
43.46%","10,019
39.82%",
El Paso County,"688,153","532,267
77.35%","461,898
67.12%",
Fremont County,"47,002","23,727
50.48%","21,074
44.84%",
Garfield County,"58,538","42,562
72.71%","38,640
66.01%",
Gilpin County,"5,924","3,992
67.39%","3,618
61.07%",
Grand County,"15,066","11,457
76.05%","9,899
65.70%",
Gunnison County,"16,537","13,341
80.67%","12,058
72.92%",
Hinsdale County,878,"539
61.39%","526
59.91%",
Huerfano County,"6,583","4,061
61.69%","3,727
56.62%",
Jackson County,"1,296","660
50.93%","636
49.07%",
Jefferson County,"570,427","488,889
85.71%","450,241
78.93%",
Kiowa County,"1,449","545
37.61%","527
36.37%",
Kit Carson County,"7,635","2,970
38.90%","2,754
36.07%",
Lake County,"7,585","5,527
72.87%","4,844
63.86%",
La Plata County,"55,101","44,170
80.16%","39,550
71.78%",
Larimer County,"338,161","267,482
79.10%","241,791
71.50%",
Las Animas County,"14,179","9,633
67.94%","8,917
62.89%",
Lincoln County,"5,548","2,121
38.23%","2,053
37.00%",
Logan County,"21,689","9,074
41.84%","8,521
39.29%",
Mesa County,"149,998","84,136
56.09%","76,631
51.09%",
Mineral County,823,"659
80.07%","634
77.04%",
Moffat County,"13,060","6,418
49.14%","5,737
43.93%",
Montezuma County,"25,909","20,955
80.88%","17,975
69.38%",
Montrose County,"41,268","23,314
56.49%","20,813
50.43%",
Morgan County,"28,257","15,587
55.16%","13,988
49.50%",
Otero County,"18,325","9,617
52.48%","8,961
48.90%",
Ouray County,"4,722","3,592
76.07%","3,227
68.34%",
Park County,"17,392","9,675
55.63%","8,896
51.15%",
Phillips County,"4,318","2,465
57.09%","2,222
51.46%",
Pitkin County,"17,909","18,423
102.87%","14,668
81.90%",
Prowers County,"12,052","5,720
47.46%","5,205
43.19%",
Pueblo County,"164,685","104,887
63.69%","95,287
57.86%",
Rio Blanco County,"6,465","2,776
42.94%","2,431
37.60%",
Rio Grande County,"11,351","7,835
69.02%","7,097
62.52%",
Routt County,"24,874","21,655
87.06%","19,351
77.80%",
Saguache County,"6,468","2,628
40.63%","2,442
37.76%",
San Juan County,544,"779
143.20%","686
126.10%",
San Miguel County,"7,968","7,836
98.34%","6,790
85.22%",
Sedgwick County,"2,350","1,274
54.21%","1,176
50.04%",
Summit County,"30,429","30,529
100.33%","26,182
86.04%",
Teller County,"24,113","14,395
59.70%","13,690
56.77%",
Washington County,"4,840","1,671
34.52%","1,513
31.26%",
Weld County,"295,123","212,141
71.88%","197,466
66.91%",
Yuma County,"10,069","4,894
48.60%","4,404
43.74%",
Fairfield County,"944,348","954,773
101.10%","764,196
80.92%",Connecticut
Hartford County,"894,730","779,176
87.09%","673,118
75.23%",
Litchfield County,"183,031","156,822
85.68%","135,757
74.17%",
Middlesex County,"163,368","156,339
95.70%","134,854
82.55%",
New Haven County,"859,339","806,701
93.87%","659,472
76.74%",
New London County,"268,881","245,980
91.48%","209,238
77.82%",
Tolland County,"151,269","114,774
75.87%","100,495
66.43%",
Windham County,"116,538","86,114
73.89%","74,551
63.97%",
Kent County,"174,822","117,071
66.97%","100,578
57.53%",Delware
New Castle County,"555,133","465,058
83.77%","382,369
68.88%",
Sussex County,"219,540","188,253
85.75%","158,011
71.97%",
Alachua County,"263,148","202,897
77.10%","177,692
67.53%",Florida
Baker County,"27,785","12,858
46.28%","10,595
38.13%",
Bay County,"182,482","109,487
60.00%","92,606
50.75%",
Bradford County,"26,979","14,910
55.27%","12,486
46.28%",
Brevard County,"576,808","453,228
78.58%","387,712
67.22%",
Broward County,"1,909,151","1,658,110
86.85%","1,386,710
72.63%",
Calhoun County,"14,444","5,817
40.27%","4,895
33.89%",
Charlotte County,"176,954","148,561
83.95%","122,810
69.40%",
Citrus County,"143,087","95,613
66.82%","83,990
58.70%",
Clay County,"207,291","139,873
67.48%","118,125
56.99%",
Collier County,"363,922","315,005
86.56%","267,618
73.54%",
Columbia County,"69,105","34,917
50.53%","29,983
43.39%",
DeSoto County,"36,399","22,230
61.07%","17,508
48.10%",
Dixie County,"16,437","7,357
44.76%","5,758
35.03%",
Duval County,"924,229","672,582
72.77%","582,389
63.01%",
Escambia County,"311,522","207,043
66.46%","177,092
56.85%",
Flagler County,"107,139","83,421
77.86%","72,799
67.95%",
Franklin County,"11,736","6,545
55.77%","5,815
49.55%",
Gadsden County,"46,017","29,932
65.05%","26,413
57.40%",
Gilchrist County,"17,615","7,861
44.63%","6,785
38.52%",
Glades County,"13,363","5,676
42.48%","4,661
34.88%",
Gulf County,"16,055","8,093
50.41%","7,020
43.72%",
Hamilton County,"14,269","5,879
41.20%","5,014
35.14%",
Hardee County,"27,228","13,261
48.70%","11,493
42.21%",
Hendry County,"40,127","25,409
63.32%","20,770
51.76%",
Hernando County,"182,696","119,804
65.58%","105,958
58.00%",
Highlands County,"102,101","68,362
66.96%","55,355
54.22%",
Hillsborough County,"1,378,883","1,090,116
79.06%","919,227
66.66%",
Holmes County,"19,430","6,944
35.74%","5,770
29.70%",
Indian River County,"150,984","127,696
84.58%","106,832
70.76%",
Jackson County,"48,472","23,934
49.38%","20,066
41.40%",
Jefferson County,"14,105","10,185
72.21%","8,484
60.15%",
Lafayette County,"8,744","3,710
42.43%","3,313
37.89%",
Lake County,"335,362","276,222
82.37%","240,828
71.81%",
Lee County,"718,679","555,089
77.24%","474,713
66.05%",
Leon County,"288,102","191,221
66.37%","165,710
57.52%",
Levy County,"39,961","22,781
57.01%","19,523
48.86%",
Liberty County,"8,365","3,244
38.78%","2,849
34.06%",
Madison County,"18,474","10,109
54.72%","8,496
45.99%",
Manatee County,"373,853","288,130
77.07%","247,263
66.14%",
Marion County,"348,371","234,572
67.33%","206,872
59.38%",
Martin County,"157,581","118,561
75.24%","101,925
64.68%",
Miami-Dade County,"2,715,516","2,835,728
104.43%","2,293,591
84.46%",
Monroe County,"76,325","69,683
91.30%","57,888
75.84%",
Nassau County,"80,578","58,532
72.64%","50,797
63.04%",
Okaloosa County,"200,737","159,963
79.69%","134,435
66.97%",
Okeechobee County,"40,572","22,830
56.27%","19,471
47.99%",
Orange County,"1,321,194","1,149,756
87.02%","961,911
72.81%",
Osceola County,"338,619","333,029
98.35%","272,410
80.45%",
Palm Beach County,"1,446,277","1,147,353
79.33%","986,399
68.20%",
Pasco County,"510,593","373,374
73.13%","324,675
63.59%",
Pinellas County,"957,875","715,359
74.68%","626,853
65.44%",
Polk County,"668,671","479,399
71.69%","412,490
61.69%",
Putnam County,"72,766","36,855
50.65%","31,197
42.87%",
St. Johns County,"235,503","206,841
87.83%","185,461
78.75%",
St. Lucie County,"305,591","222,166
72.70%","190,920
62.48%",
Santa Rosa County,"170,442","119,209
69.94%","99,518
58.39%",
Sarasota County,"412,144","356,761
86.56%","301,040
73.04%",
Seminole County,"455,086","324,732
71.36%","291,663
64.09%",
Sumter County,"120,999","119,093
98.42%","105,401
87.11%",
Suwannee County,"43,924","19,917
45.34%","16,890
38.45%",
Taylor County,"22,098","10,378
46.96%","8,633
39.07%",
Union County,"15,239","7,795
51.15%","5,447
35.74%",
Volusia County,"527,634","375,080
71.09%","328,437
62.25%",
Wakulla County,"31,877","18,131
56.88%","15,125
47.45%",
Walton County,"65,858","43,411
65.92%","36,266
55.07%",
Washington County,"24,566","10,018
40.78%","8,262
33.63%",
Appling County,"18,454","7,330
39.72%","6,755
36.60%",Georgia
Atkinson County,"8,265","3,702
44.79%","3,287
39.77%",
Bacon County,"11,228","3,878
34.54%","3,534
31.47%",
Baker County,"3,189","1,602
50.24%","1,474
46.22%",
Baldwin County,"45,286","22,150
48.91%","20,465
45.19%",
Banks County,"18,510","6,603
35.67%","6,036
32.61%",
Barrow County,"76,887","37,475
48.74%","34,786
45.24%",
Bartow County,"103,620","45,090
43.51%","41,706
40.25%",
Ben Hill County,"17,154","7,312
42.63%","6,719
39.17%",
Berrien County,"19,025","7,192
37.80%","6,557
34.47%",
Bibb County,"153,490","79,111
51.54%","71,799
46.78%",
Bleckley County,"12,775","5,224
40.89%","4,756
37.23%",
Brantley County,"18,561","5,658
30.48%","5,124
27.61%",
Brooks County,"15,622","7,958
50.94%","7,330
46.92%",
Bryan County,"35,885","21,376
59.57%","19,647
54.75%",
Bulloch County,"74,782","30,394
40.64%","27,909
37.32%",
Burke County,"22,550","12,586
55.81%","11,624
51.55%",
Butts County,"23,750","9,275
39.05%","8,518
35.87%",
Calhoun County,"6,428","3,390
52.74%","3,154
49.07%",
Camden County,"52,714","23,811
45.17%","21,638
41.05%",
Candler County,"10,827","5,177
47.82%","4,749
43.86%",
Carroll County,"116,022","50,807
43.79%","46,423
40.01%",
Catoosa County,"66,299","28,632
43.19%","25,660
38.70%",
Charlton County,"12,983","3,533
27.21%","3,205
24.69%",
Chatham County,"287,049","173,063
60.29%","158,810
55.33%",
Chattahoochee County,"10,767","2,694
25.02%","2,304
21.40%",
Chattooga County,"24,817","10,431
42.03%","9,712
39.13%",
Cherokee County,"241,910","142,891
59.07%","133,452
55.17%",
Clarke County,"124,602","66,422
53.31%","61,784
49.59%",
Clay County,"3,001","2,423
80.74%","2,181
72.68%",
Clayton County,"278,666","144,257
51.77%","130,722
46.91%",
Clinch County,"6,743","3,014
44.70%","2,770
41.08%",
Cobb County,"745,057","491,694
65.99%","454,479
61.00%",
Coffee County,"42,961","18,639
43.39%","16,899
39.34%",
Colquitt County,"45,606","21,217
46.52%","19,259
42.23%",
Columbia County,"147,295","78,511
53.30%","72,016
48.89%",
Cook County,"17,184","7,643
44.48%","7,023
40.87%",
Coweta County,"140,516","73,875
52.57%","68,444
48.71%",
Crawford County,"12,344","5,285
42.81%","4,837
39.19%",
Crisp County,"22,846","11,297
49.45%","10,152
44.44%",
Dade County,"16,227","5,757
35.48%","5,241
32.30%",
Dawson County,"23,861","11,408
47.81%","10,607
44.45%",
Decatur County,"26,833","14,227
53.02%","12,955
48.28%",
DeKalb County,"743,187","480,131
64.60%","438,312
58.98%",
Dodge County,"20,919","8,373
40.03%","7,653
36.58%",
Dooly County,"13,905","5,671
40.78%","5,201
37.40%",
Dougherty County,"91,049","48,574
53.35%","44,345
48.70%",
Douglas County,"141,840","76,385
53.85%","69,977
49.34%",
Early County,"10,348","5,616
54.27%","5,247
50.71%",
Echols County,"3,994","1,446
36.20%","1,313
32.87%",
Effingham County,"58,689","27,197
46.34%","25,005
42.61%",
Elbert County,"19,212","9,075
47.24%","8,384
43.64%",
Emanuel County,"22,499","10,213
45.39%","9,358
41.59%",
Evans County,"10,727","5,015
46.75%","4,531
42.24%",
Fannin County,"24,925","11,761
47.19%","10,872
43.62%",
Fayette County,"111,369","77,950
69.99%","72,951
65.50%",
Floyd County,"96,824","47,360
48.91%","44,003
45.45%",
Forsyth County,"219,880","144,456
65.70%","135,696
61.71%",
Franklin County,"22,514","9,572
42.52%","8,784
39.02%",
Fulton County,"1,021,902","674,859
66.04%","619,432
60.62%",
Gilmer County,"29,922","14,445
48.28%","13,402
44.79%",
Glascock County,"3,009","1,100
36.56%","1,017
33.80%",
Glynn County,"83,974","47,721
56.83%","44,329
52.79%",
Gordon County,"56,790","24,920
43.88%","22,993
40.49%",
Grady County,"24,926","12,080
48.46%","11,135
44.67%",
Greene County,"16,976","11,074
65.23%","10,333
60.87%",
Gwinnett County,"902,298","580,075
64.29%","536,267
59.43%",
Habersham County,"44,289","20,795
46.95%","19,162
43.27%",
Hall County,"195,961","104,290
53.22%","96,215
49.10%",
